,0,1,2,3
0,0.0,2.260808376926464,0.0,PPO
1,1.0,1.2069810228102895,0.022608083769264643,PPO
2,2.0,1.6123032087730014,0.03445181315967489,PPO
3,3.0,0.933846082728755,0.05023032711580815,PPO
4,4.0,1.3078033025467124,0.05906648467193762,PPO
5,5.0,1.0597311075108544,0.07155385285068536,PPO
6,6.0,1.2803460798400965,0.08143562539728705,PPO
7,7.0,1.2236641906332077,0.09342472994171513,PPO
8,8.0,1.043808747627569,0.10472712454863006,PPO
9,9.0,0.8510125941502373,0.11411794077941945,PPO
10,10.0,1.6792503585264398,0.12148688731312762,PPO
11,11.0,1.160958327841377,0.13706452202526073,PPO
12,12.0,1.0801839267792799,0.1473034600834219,PPO
13,13.0,1.612810932985409,0.15663226475038047,PPO
14,14.0,1.0846289017173754,0.17119405143273075,PPO
15,15.0,0.9170039791071443,0.1803283999355772,PPO
16,16.0,0.8872356673799828,0.18769515572729287,PPO
17,17.0,1.1814623173193228,0.19469056084381975,PPO
18,18.0,1.3695927318721177,0.2045582784085748,PPO
19,19.0,0.829224400120529,0.21620862294321022,PPO
20,20.0,1.174206639679123,0.22233878071498342,PPO
21,21.0,1.0631039571268872,0.2318574593046248,PPO
22,22.0,0.8662293922301233,0.24016992428284745,PPO
23,23.0,0.9516457228510266,0.24643051896232018,PPO
24,24.0,0.8778834363132351,0.25348267100120725,PPO
25,25.0,1.2239488256128044,0.2597266786543275,PPO
26,26.0,1.451772641360029,0.2693689001239123,PPO
27,27.0,1.4536137794884705,0.28119293753627345,PPO
28,28.0,1.029325018814222,0.29291714595579543,PPO
29,29.0,-0.5239428679209801,0.3002812246843797,PPO
30,30.0,0.07080331796910691,0.2920389837583261,PPO
31,31.0,1.182625503214126,0.28982662710043394,PPO
32,32.0,1.1060575974184286,0.2987546158615708,PPO
33,33.0,-0.31217687330372434,0.30682764567713944,PPO
34,34.0,-0.25213831604756853,0.3006376004873308,PPO
35,35.0,0.5749095364792579,0.2951098413219818,PPO
36,36.0,1.3054897508155716,0.29790783827355455,PPO
37,37.0,1.153226601164611,0.3079836573989747,PPO
38,38.0,1.0009850918195469,0.31643608683663105,PPO
39,39.0,0.19549953556669727,0.3232815768864602,PPO
40,40.0,-0.45300987972262385,0.32200375647326257,PPO
41,41.0,1.0249054212417696,0.31425362011130376,PPO
42,42.0,0.0523374366511035,0.3213601381226084,PPO
43,43.0,0.9377083353276595,0.31866991110789333,PPO
44,44.0,0.4135750075099569,0.324860295350091,PPO
45,45.0,-0.44495100597700643,0.32574744247168963,PPO
46,46.0,-0.0936116007945601,0.31804045798720265,PPO
47,47.0,0.997018393335229,0.31392393739938507,PPO
48,48.0,-0.7234677184447365,0.3207548819587435,PPO
49,49.0,-1.2275495682941595,0.3103126559547087,PPO
50,50.0,1.088904623662679,0.29493403371222,PPO
51,51.0,-0.866806360896375,0.3028737396117246,PPO
52,52.0,1.1064559822428977,0.29117693860664356,PPO
53,53.0,0.12777255828101153,0.2993297290430061,PPO
54,54.0,0.1768525460120718,0.29761415733538615,PPO
55,55.0,-0.5463492231890212,0.29640654122215304,PPO
56,56.0,1.3435998705191172,0.2879789835780413,PPO
57,57.0,-0.18259982586327728,0.2985351924474521,PPO
58,58.0,-0.20025443395619358,0.2937238422643448,PPO
59,59.0,-0.6062674863438715,0.2887840595021394,PPO
60,60.0,-0.5261147330637028,0.2798335440436793,PPO
61,61.0,-0.06651333137268989,0.2717740612726055,PPO
62,62.0,-1.9346700870992872,0.2683911873461525,PPO
63,63.0,0.08229700167167814,0.24636057460169813,PPO
64,64.0,-0.5486011740053435,0.24471993887239793,PPO
65,65.0,0.41508832053627526,0.2367867277436205,PPO
66,66.0,-2.0371280675091636,0.23856974367154704,PPO
67,67.0,1.3142353615553874,0.21581276555973994,PPO
68,68.0,-0.056503190529131664,0.22679699151969643,PPO
69,69.0,-0.4694294499153461,0.22396398969920817,PPO
70,70.0,0.2823542168508082,0.21703005530306263,PPO
71,71.0,-0.5553125141540085,0.21768329691854008,PPO
72,72.0,-0.5582206402826034,0.20995333880781458,PPO
73,73.0,0.2756818648363116,0.20227159901691041,PPO
74,74.0,0.21488167495521976,0.20300570167510443,PPO
75,75.0,-0.6452362967672307,0.20312446140790558,PPO
76,76.0,0.1932646261860383,0.1946408538261542,PPO
77,77.0,-1.4469080438869086,0.19462709154975302,PPO
78,78.0,0.01944403779217552,0.1782117401953864,PPO
79,79.0,0.22131235313043657,0.17662406317135432,PPO
80,80.0,-0.1302295467754775,0.17707094607094515,PPO
81,81.0,-1.69512191492263,0.1739979411424809,PPO
82,82.0,-0.041051147864801685,0.1553067425818298,PPO
83,83.0,-1.1984579500529347,0.1533431636773635,PPO
84,84.0,0.12203186686981236,0.13982515254006053,PPO
85,85.0,0.07141549275598974,0.13964721968335805,PPO
86,86.0,0.2671137381333282,0.13896490241408435,PPO
87,87.0,-0.31825671731370375,0.1402463907712768,PPO
88,88.0,-0.8146273201604661,0.135661359690427,PPO
89,89.0,0.07097068060558837,0.12615847289191806,PPO
90,90.0,0.11082035996987923,0.12560659496905477,PPO
91,91.0,0.35043459351705963,0.125458732619063,PPO
92,92.0,0.20658215870358076,0.12770849122804298,PPO
93,93.0,-0.687754945023952,0.12849722790279836,PPO
94,94.0,-0.41097586225961524,0.12033470617353084,PPO
95,95.0,-0.2808800765860341,0.11502160048919939,PPO
96,96.0,-0.3457743034714068,0.11106258371844704,PPO
97,97.0,-1.293418253361295,0.10649421484654852,PPO
98,98.0,0.1406449209801649,0.09249509016447008,PPO
